url_length,num_dots,num_digits,num_hyphens,has_ip,has_https,dns_resolves,label
35,2,0,0,0,1,1,1
41,2,1,0,0,0,1,1
37,2,0,1,0,0,1,1
36,2,0,0,0,1,1,1
34,3,0,0,0,1,1,1
65,5,5,2,0,1,1,1
25,1,0,0,0,0,1,1
35,2,0,0,0,0,1,1
32,1,1,1,0,0,1,1
37,3,5,0,0,1,1,1
64,1,17,4,0,1,1,1
57,3,2,1,0,1,1,1
39,2,2,1,0,1,1,1
73,2,22,4,0,1,1,1
28,2,4,0,0,1,1,1
46,2,1,0,0,1,1,1
46,4,2,0,0,1,1,1
70,1,21,4,0,1,1,1
53,2,0,0,0,0,1,1
72,5,5,2,0,1,1,1
39,2,0,2,0,1,1,1
55,1,2,1,0,1,0,1
41,2,0,2,0,1,1,1
52,3,12,0,0,1,1,1
37,2,0,0,0,0,1,1
75,1,23,4,0,1,1,1
24,2,0,0,0,0,1,1
47,2,0,0,0,1,1,1
30,1,0,1,0,1,1,1
46,2,10,0,0,1,1,1
69,2,17,4,0,1,0,1
45,2,0,1,0,1,1,1
36,1,0,0,0,0,0,1
109,3,42,1,0,1,1,1
47,2,10,0,0,1,1,1
50,3,4,0,0,1,1,1
47,3,0,3,0,1,1,1
36,2,0,1,0,1,1,1
63,5,5,2,0,1,1,1
35,2,0,0,0,0,1,1
37,2,0,1,0,0,1,1
18,1,0,1,0,1,1,1
39,2,2,2,0,0,1,1
73,2,16,4,0,1,1,1
137,2,23,14,0,0,0,1
54,2,4,0,0,1,1,1
44,1,0,0,0,1,1,1
78,3,28,6,0,0,1,1
47,3,3,0,0,1,1,1
47,1,12,0,0,1,1,1
52,2,0,2,0,1,1,1
27,2,0,0,0,0,1,1
62,3,1,1,0,1,1,1
31,1,0,0,0,1,1,1
48,2,0,4,0,1,1,1
96,3,21,4,0,0,0,1
80,2,10,0,0,1,1,1
68,5,5,2,0,1,1,1
42,3,0,1,0,1,1,1
38,2,8,0,0,1,1,1
27,1,0,0,0,1,1,1
20,1,0,0,0,0,1,0
50,3,10,0,0,0,1,1
39,2,8,0,0,0,1,1
28,1,4,1,0,1,1,1
32,2,0,2,0,0,1,1
56,3,0,3,0,0,1,1
24,1,4,0,0,1,1,1
55,3,2,1,0,0,1,1
30,2,1,0,0,0,1,1
18,1,0,0,0,1,1,1
22,1,0,0,0,1,1,1
74,5,5,3,0,1,1,1
33,3,0,0,0,0,1,1
156,3,54,4,0,1,1,1
49,3,0,3,0,0,1,1
63,1,27,4,0,1,1,1
50,3,10,0,0,0,1,1
29,2,0,0,0,0,1,1
24,2,1,0,0,0,1,1
71,1,21,4,0,1,1,1
69,1,19,4,0,1,1,1
29,2,4,1,0,1,1,1
93,2,29,5,0,0,1,1
18,1,0,0,0,0,1,0
38,2,0,0,0,1,0,1
16,1,2,0,0,0,1,1
74,2,0,2,0,1,1,1
116,2,47,2,0,1,1,1
67,1,25,4,0,1,1,1
37,2,0,1,0,1,1,1
61,3,10,0,0,1,1,1
56,2,4,3,0,1,1,1
40,2,6,2,0,1,1,1
42,1,9,0,0,1,1,1
55,2,10,0,0,1,1,1
48,2,0,2,0,1,1,1
51,3,0,1,0,1,1,1
32,2,2,0,0,1,1,1
42,3,0,2,0,0,1,1
43,3,0,2,0,1,1,1
43,3,0,1,0,0,1,1
42,3,0,0,0,1,0,1
46,2,0,0,0,0,1,1
29,1,0,1,0,0,1,1
74,2,20,4,0,1,1,1
21,1,3,0,0,1,1,1
61,2,3,4,0,1,1,1
42,2,0,6,0,0,1,1
43,2,3,1,0,1,1,1
32,2,0,1,0,0,1,1
71,5,5,2,0,1,1,1
45,2,0,0,0,1,1,1
35,2,1,1,0,1,1,1
22,2,0,0,0,0,1,1
30,3,5,0,0,0,1,1
107,10,8,4,0,1,1,1
38,2,0,2,0,1,1,1
56,2,0,0,0,1,1,1
33,2,0,0,0,0,1,1
63,2,10,0,0,0,1,1
46,2,10,0,0,1,1,1
32,2,0,0,0,0,1,1
132,2,39,1,0,1,0,1
29,2,0,1,0,1,1,1
41,2,3,1,0,1,1,1
53,3,0,0,0,1,1,1
57,3,10,0,0,1,1,1
48,3,9,0,0,1,1,1
22,1,4,0,0,1,1,1
42,2,0,3,0,0,1,1
22,1,0,0,0,1,1,1
52,2,0,3,0,0,1,1
42,3,0,0,0,1,0,1
42,2,0,0,0,0,1,1
22,1,4,0,0,1,1,1
68,2,21,0,0,1,1,1
37,2,0,0,0,1,1,1
38,2,0,0,0,0,1,1
45,2,4,2,0,1,1,1
46,3,12,0,0,0,1,1
23,2,0,0,0,0,1,1
22,1,4,0,0,1,1,1
99,2,47,0,0,1,1,1
30,1,0,0,0,0,1,1
54,3,0,0,0,1,1,1
29,2,0,1,0,1,1,1
119,3,43,3,0,1,1,1
51,5,4,0,0,0,1,1
33,2,0,0,0,0,1,1
24,1,4,0,0,1,1,1
121,3,50,2,0,1,1,1
28,1,0,0,0,1,1,1
68,2,22,0,0,1,1,1
44,2,0,4,0,1,1,1
51,4,0,1,0,1,0,1
40,2,6,2,0,1,1,1
33,2,0,1,0,1,1,1
21,1,0,0,0,0,1,0
48,2,0,3,0,1,1,1
40,2,0,1,0,1,1,1
44,3,3,0,0,0,1,1
47,3,1,1,0,1,1,1
31,1,0,0,0,0,1,1
42,3,0,2,0,0,0,1
43,3,0,2,0,1,1,1
37,2,0,2,0,1,1,1
28,2,4,0,0,1,1,1
67,2,11,3,0,1,1,1
34,1,6,0,0,0,1,1
60,5,5,2,0,1,1,1
69,5,5,2,0,1,1,1
30,2,0,1,0,1,1,1
72,1,23,4,0,1,1,1
50,2,3,3,0,1,1,1
33,2,0,0,0,0,1,1
43,2,0,1,0,0,1,1
24,2,2,0,0,0,1,1
28,2,0,1,0,0,1,1
24,1,0,0,0,1,1,1
48,4,0,0,0,1,1,1
27,2,0,0,0,1,1,1
46,2,10,0,0,1,1,1
112,2,46,2,0,1,1,1
83,7,3,2,0,1,1,1
69,3,18,3,0,1,0,1
35,2,1,0,0,1,1,1
52,3,12,0,0,1,1,1
39,2,0,0,0,0,1,1
42,2,0,2,0,1,1,1
40,2,0,0,0,0,1,1
43,2,0,0,0,1,1,1
32,2,5,0,0,0,1,1
22,1,4,0,0,1,1,1
61,5,2,0,0,1,1,1
115,2,46,2,0,1,1,1
52,3,12,0,0,1,1,1
56,3,4,0,0,1,1,1
35,2,0,0,0,1,1,1
28,1,0,1,0,1,1,1
35,1,0,1,0,1,1,1
41,3,0,2,0,0,1,1
42,2,1,1,0,1,1,1
43,3,0,0,0,1,1,1
66,1,4,0,0,0,1,1
42,2,0,3,0,0,1,1
87,3,12,1,0,0,1,1
22,1,0,0,0,1,0,1
63,5,5,2,0,1,1,1
32,2,0,1,0,0,1,1
23,2,0,0,0,0,1,1
35,3,0,2,0,0,1,1
26,3,0,0,0,1,1,1
75,1,20,4,0,1,1,1
47,2,4,4,0,1,1,1
18,1,2,0,0,0,0,1
48,2,13,0,0,1,0,1
48,2,0,1,0,1,1,1
19,1,0,0,0,0,1,1
77,2,0,0,0,1,1,1
25,2,0,0,0,1,1,1
57,2,4,3,0,1,1,1
44,2,5,1,0,1,1,1
16,1,0,0,0,1,1,1
20,1,0,0,0,0,1,0
17,1,0,0,0,0,1,0
24,1,0,0,0,1,1,1
29,1,0,0,0,1,1,1
45,2,9,0,0,1,1,1
72,2,19,4,0,1,0,1
98,3,12,0,0,1,1,1
37,2,0,1,0,1,1,1
20,1,0,0,0,1,1,1
33,2,4,0,0,1,0,1
34,1,1,0,0,1,0,1
21,1,0,0,0,1,0,1
41,2,4,0,0,0,1,1
85,3,6,0,0,0,1,1
22,1,4,0,0,1,1,1
40,3,0,2,0,1,1,1
62,2,0,3,0,1,0,1
22,1,0,0,0,1,1,1
41,2,0,4,0,0,1,1
70,2,25,4,0,1,1,1
35,2,0,0,0,0,1,1
38,2,7,0,0,1,1,1
17,1,0,0,0,0,1,0
128,2,47,4,0,1,1,1
49,2,4,2,0,0,1,1
19,1,0,0,0,0,1,0
45,2,0,1,0,1,1,1
28,3,0,0,0,0,1,1
41,2,0,2,0,0,1,1
52,3,12,0,0,1,1,1
44,1,9,0,0,1,1,1
39,2,0,2,0,1,1,1
123,3,42,2,0,1,1,1
34,3,0,0,0,1,1,1
66,5,2,2,0,1,1,1
67,2,8,0,0,1,1,1
65,2,8,1,0,1,1,1
43,3,0,2,0,1,1,1
66,1,22,4,0,1,1,1
56,1,0,0,0,1,1,1
171,3,79,4,0,1,0,1
71,3,3,7,0,0,1,1
53,3,4,0,0,1,1,1
48,4,0,0,0,0,0,1
120,2,46,2,0,1,1,1
57,2,2,0,0,1,1,1
45,2,0,3,0,0,1,1
33,2,0,1,0,0,1,1
17,1,0,0,0,0,1,0
19,1,2,0,0,1,1,1
60,2,5,0,0,0,0,1
29,2,1,0,0,1,1,1
61,4,2,0,0,1,1,1
55,2,0,3,0,1,1,1
32,1,0,2,0,1,1,1
104,2,42,1,0,1,1,1
37,2,0,0,0,1,1,1
40,2,0,0,0,0,1,1
283,78,147,0,1,0,1,1
37,2,0,0,0,0,1,1
98,2,15,7,0,0,1,1
17,1,0,0,0,0,1,0
34,3,10,0,0,0,0,1
